nace_r2,sizeclas,indic_lc,currency,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
B,GE10,LC_M,EUR,SI	3013 p	2917 p	2792 p	2809 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,SK	1320 	1255 	1280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,EUR,UK	5765 	5713 	5486 	5619 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,AT	5136 	4892 	4880 	4662 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,BE	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,BG	1607 	1464 	1330 	1203 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,CZ	45757 	43904 	41137 	42264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,DE	5354 	5099 	5058 	4822 	4602 	4515 	4570 	4327 	4287 	4286 	4474 	4323 	4092 	4052 	4062 	3871 
B,GE10,LC_M,NAC,DK	56588 	51982 	45471 	43086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,EL	: 	: 	3233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,ES	3742 	3683 	3369 	3337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,FI	4721 	4377 	4520 	4477 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,FR	4776 	4556 	4403 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,HR	13388 p	11603 p	13346 p	13388 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,HU	374941 	333398 	364620 	336816 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,IE	4436 	4768 	4955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,LT	3411 	3410 	3643 	3860 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,LU	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,LV	657 	657 	647 	664 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,MT	: 	: 	963 	918 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,NL	9861 	8576 	8292 	8608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,PL	8586 	7503 	7340 	6619 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,PT	1938 	1906 	1727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,RO	5203 	4951 	6038 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,SE	55318 	52533 	49785 	48207 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,SI	3013 p	2917 p	2792 p	2809 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,SK	1320 	1255 	1280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,NAC,UK	5003 	4901 	4888 	4474 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,AT	4828 	4569 	4536 	4421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,BE	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,BG	1664 	1482 	1368 	1251 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,CZ	2432 	2411 	2222 	2347 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,DE	5190 	4893 	4779 	4658 	4525 	4400 	4420 	4130 	4038 	4020 	4183 	4058 	3815 	3701 	3691 	3472 
B,GE10,LC_M,PPS,DK	5294 	4897 	4213 	4137 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,EL	: 	: 	3350 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,ES	3851 	3809 	3445 	3506 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,FI	3786 	3561 	3603 	3690 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,FR	4334 	4073 	3855 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,HR	2456 p	2148 p	2452 p	2483 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,HU	2085 	1848 	2024 	1932 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,IE	3814 	4034 	3931 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,LT	1502 	1556 	1593 	1696 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,LU	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,LV	1260 	1337 	1246 	1264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,MT	: 	: 	1207 	1187 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,NL	9115 	8082 	7607 	8211 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,PL	3512 	3002 	2931 	2727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,PT	2226 	2177 	1947 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,RO	2036 	2007 	2465 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,SE	4846 	4598 	4353 	4427 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,SI	3511 p	3472 p	3309 p	3412 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,SK	1825 	1762 	1767 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_M,PPS,UK	5653 	5698 	5764 	5504 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,BG	5.93 	5.50 	4.85 	4.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,CH	: 	37.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,CY	17.40 	16.87 	16.95 	17.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,CZ	13.31 	12.40 	11.26 	12.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,EE	9.88 	9.40 	9.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,ES	25.71 	25.15 	23.12 	22.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,HU	8.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,IE	28.29 	26.46 	28.14 	29.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,LT	6.26 	6.30 	6.68 	7.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,LV	5.96 	5.94 	5.98 	6.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,NL	66.96 	58.73 	55.48 	56.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
