network_id,from_id,to_id,export_value,alpha,network_name
0,528,203,146591901,0.9122,Food and live animals
0,528,208,708209215,0.6396,Food and live animals
0,528,233,53769802,0.9669,Food and live animals
0,528,246,59107739,0.9637,Food and live animals
0,528,251,3656069016,0.0912,Food and live animals
0,528,276,10293920901,0.0006,Food and live animals
0,528,300,212845645,0.875,Food and live animals
0,528,348,293637359,0.8316,Food and live animals
0,528,372,933575698,0.5539,Food and live animals
0,528,381,1429164157,0.4025,Food and live animals
0,528,428,109227308,0.9339,Food and live animals
0,528,440,188440926,0.8885,Food and live animals
0,528,442,77627531,0.9525,Food and live animals
0,528,470,1502000,0.9198,Food and live animals
0,528,616,1401755610,0.0481,Food and live animals
0,528,620,241112059,0.1221,Food and live animals
0,528,642,394252836,0.1361,Food and live animals
0,528,703,98425677,0.3134,Food and live animals
0,528,705,13122329,0.2133,Food and live animals
0,528,724,2246840985,0.0532,Food and live animals
0,528,752,371616698,0.0061,Food and live animals
0,528,826,1877265216,0.0052,Food and live animals
0,616,40,217325772,0.7185,Food and live animals
0,616,56,861807091,0.2627,Food and live animals
0,616,100,113300205,0.8421,Food and live animals
0,616,191,26944510,0.9601,Food and live animals
0,616,196,4881007,0.9926,Food and live animals
0,616,203,697267926,0.3409,Food and live animals
0,616,208,1084806643,0.1838,Food and live animals
0,616,233,21548247,0.9679,Food and live animals
0,616,246,68040793,0.9021,Food and live animals
0,616,251,717191511,0.3304,Food and live animals
0,616,276,4566601468,0.0003,Food and live animals
0,616,300,124497096,0.8279,Food and live animals
0,616,348,451425703,0.5008,Food and live animals
0,616,372,182959781,0.7572,Food and live animals
0,616,381,848622769,0.2683,Food and live animals
0,616,428,108528632,0.8482,Food and live animals
0,616,440,399401717,0.5428,Food and live animals
0,616,442,7015111,0.9894,Food and live animals
0,616,470,13000,0.9993,Food and live animals
0,616,528,1894882329,0.0481,Food and live animals
0,616,620,132887856,0.624,Food and live animals
0,616,642,85290952,0.0421,Food and live animals
0,616,703,382197420,0.0171,Food and live animals
