id,name,year,cluster,fitness,gdp,gdp_aggr,labour_costs,wages,employment,education,complexity,ag1,name_ag1
33,"Essential oils, perfumes, cosmetics, toileteries",2009,,,,,,,,,0.9650452681151148,5.0,"Chemicals and related products, n.e.s."
34,"Soaps, lubricants, waxes, candles, modelling pastes",2009,,,,,,,,,0.8949273171121838,5.0,"Chemicals and related products, n.e.s."
35,"Albuminoids, modified starches, glues, enzymes",2009,,,,,,,,,1.3502364813787555,5.0,"Chemicals and related products, n.e.s."
36,"Explosives, pyrotechnics, matches, pyrophorics, etc",2009,,,,,,,,,0.9654312244819052,8.0,Miscellaneous manufactured articles
37,Photographic or cinematographic goods,2009,,,,,,,,,2.3347405094607065,8.0,Miscellaneous manufactured articles
38,Miscellaneous chemical products,2009,,,,,,,,,1.4060041225276716,5.0,"Chemicals and related products, n.e.s."
39,Plastics and articles thereof,2009,,,,,,,,,1.280525860158247,8.0,Miscellaneous manufactured articles
40,Rubber and articles thereof,2009,,,,,,,,,1.1225412062539195,6.0,Manufactured goods
41,Raw hides and skins (other than furskins) and leather,2009,,,,,,,,,0.6377098233683905,2.0,"Crude materials, inedible, except fuels"
42,"Articles of leather, animal gut, harness, travel goods",2009,,,,,,,,,2.020067968534392,8.0,Miscellaneous manufactured articles
43,"Furskins and artificial fur, manufactures thereof",2009,,,,,,,,,1.0068924664561922,8.0,Miscellaneous manufactured articles
44,"Wood and articles of wood, wood charcoal",2009,,,,,,,,,0.30409319753964353,6.0,Manufactured goods
45,Cork and articles of cork,2009,,,,,,,,,1.0381491298880487,6.0,Manufactured goods
46,"Manufactures of plaiting material, basketwork, etc.",2009,,,,,,,,,1.3422895241239583,8.0,Miscellaneous manufactured articles
47,"Pulp of wood, fibrous cellulosic material, waste etc",2009,,,,,,,,,1.186585125702263,2.0,"Crude materials, inedible, except fuels"
48,"Paper & paperboard, articles of pulp, paper and board",2009,,,,,,,,,0.9487421837145014,6.0,Manufactured goods
49,"Printed books, newspapers, pictures etc",2009,,,,,,,,,0.6254689364420633,8.0,Miscellaneous manufactured articles
50,Silk,2009,,,,,,,,,2.9969381703489013,6.0,Manufactured goods
51,"Wool, animal hair, horsehair yarn and fabric thereof",2009,,,,,,,,,0.8980833882976018,6.0,Manufactured goods
52,Cotton,2009,,,,,,,,,0.4251251917364688,6.0,Manufactured goods
